id,title,release_date,budget,revenue,budget_clean,revenue_clean,release_date_clean,release_year,release_month,budget_missing_flag,revenue_missing_flag,suspicious_flag,financial_status
57204,Touch and Go,22-08-1986,0,1300000.0,,1300000.0,1986-08-22,1986.0,8.0,True,False,True,Revenue Only
152989,The Stroller Strategy,10-11-2012,0,3462.0,,3462.0,2012-10-11,2012.0,10.0,True,False,True,Revenue Only
80211,Weekend Pass,02/03/1984,,21058000.0,,21058000.0,1984-02-03,1984.0,2.0,True,False,True,Revenue Only
55740,Waltzing Anna,2006-08-11,,11455.0,,11455.0,2006-08-11,2006.0,8.0,True,False,True,Revenue Only
86231,The In Crowd,01-02-1988,0,124880.0,,124880.0,1988-01-02,1988.0,1.0,True,False,True,Revenue Only
332512,Ghost,2015-03-26,,3300000.0,,3300000.0,2015-03-26,2015.0,3.0,True,False,True,Revenue Only
248223,Dark World: Equilibrium,12/05/2013,0,2118871.0,,2118871.0,2013-12-05,2013.0,12.0,True,False,True,Revenue Only
37851,Hooked on the Game 2. The Next Level,2010-04-15,0,2294357.0,,2294357.0,2010-04-15,2010.0,4.0,True,False,True,Revenue Only
36699,We Are from the Future 2,2010-02-18,0,8910819.0,,8910819.0,2010-02-18,2010.0,2.0,True,False,True,Revenue Only
47812,Love and the City 2,2010-02-25,0,10198357.0,,10198357.0,2010-02-25,2010.0,2.0,True,False,True,Revenue Only
16269,God of Gamblers,1989-12-14,0,4762337.0,,4762337.0,1989-12-14,1989.0,12.0,True,False,True,Revenue Only
118144,My Son,2007-05-01,0,2403749.0,,2403749.0,2007-05-01,2007.0,5.0,True,False,True,Revenue Only
